prompt,response,originality,elaboration
brick,mobile device stand,2,
brick,cooking hot plate,3,
brick,chair legs,1,
brick,megaphone,3,
brick,rustic garden border,1.5,
brick,light switch cover,3,
brick,play lego/jenga,2,
brick,sword,3,
brick,laying wall,1,
brick,pizza stone,2,
brick,urban art canvas,3,
brick,riot,1,
brick,art installation,2,
brick,tower,1,
brick,brown,1,
brick,make sidewalk,1,
brick,make wall,1,
brick,get nuts small,1.4,
brick,crumbling brickwork,1,
brick,building chair,1,
brick,shred,2,
brick,chop,2,
brick,crush insects,2,
brick,make garden,1,
brick,experiment melting to clay,3,
brick,decorative centerpiece,2,
brick,pole,1,
brick,typographical term,2,
brick,minecraft game,2,
brick,pendant,3,
brick,patio pavers,1,
brick,packing,1,
brick,make noise,2,
brick,room,1,
brick,erosion control,1,
brick,igloo,1,
brick,creating sculptures,2,
brick,tabletop fire pit,2,
brick,self-defense,1,
brick,flower press,2,
brick,cudgel,2,
brick,tie feet to make shoes,1.4,
brick,garden decor,1,
brick,kitchenware,2,
brick,hot,1,
brick,end table,2,
brick,lay ground,1,
brick,crack walnut,2,
brick,arm support,2,
brick,break lock,1,
brick,flowerbox,2,
brick,balcony privacy stack,1.7,
brick,noun,1,
brick,footrest,1.7,
brick,increase chair,1,
brick,decorative garden marker,1.8,
brick,weight support for car wheels,1,
brick,rubble,1,
brick,toy for chimpanzees,2,
brick,filing nails,3,
brick,bee hive,3,
brick,writing desk,3,
brick,firewood storage,2,
brick,fix wobbly table,1,
brick,structure,1,
brick,decorate room,2,
brick,telephone stand,2,
brick,prop for dance,2,
brick,sound barrier,2,
brick,ramp,1,
brick,gate,1,
brick,construct barbecue,1,
brick,heartshaped decoration,2,
brick,napkin holder,3,
brick,throwing game,2,
brick,hollow into a light,3,
brick,pathway marker,1,
brick,weight for balloons,2,
brick,personify as mascot,3,
brick,lay street,1,
brick,picture frame anchor,2,
brick,shovel,2,
brick,pizza,1.4,
brick,flowerpot stand,2,
brick,rustic serving platter,3,
brick,shelving,2,
brick,building wall,1,
brick,flower vase,2,
brick,grind food,3,
brick,mosaic tile,2,
brick,steampunk gear,3,
brick,mold,1,
brick,carry,1,
brick,exhibit,2,
brick,wheel support,1,
brick,hollow out into vase,3,
brick,killing pests,1,
brick,grind to gravel,2,
brick,soccer goal,2,
brick,make pit,1,
brick,hammering,1.5,
brick,throw ball,1,
brick,mailboxholder,1,
brick,exercise weight,1.5,
brick,brickandmortar church,1,
brick,fireplace,1,
brick,lift,1,
brick,shelves,2,
brick,drop,1,
brick,foundation structures,1,
brick,melt,2,
brick,charm,2,
brick,alarm sound,2,
brick,weight for speed hill descent,2,
brick,make bed,2,
brick,border,1,
brick,wall decoration,1,
brick,pestle grinding,2,
brick,basketball,1.4,
brick,abacus for children,4,
brick,floor,1,
brick,ladder,1,
brick,keychain,2,
brick,message board,3,
brick,decorative art,2,
brick,campfire cooking surface,2,
brick,game board,3,
brick,build fireplace,1,
brick,nylon cord anchor,3,
brick,weight against wind for tablecloth,2,
brick,constructing fences,1,
brick,build table,1,
brick,spatula,3,
brick,brickpaved alleyways,1,
brick,snowball,2,
brick,scrub,2,
brick,historic preservation,2,
brick,bird feeder,3,
brick,test weighing scale,3,
brick,make jewelry,2,
brick,hot compress,3,
brick,interior design,2,
brick,candle,3,
brick,warehouse,1,
brick,window prop,1,
brick,book cover,2,
brick,build cupboard,1,
brick,stepping,1,
brick,brickandmortar restaurant,1,
brick,snow,1,
brick,heat storage,3,
brick,archeology and history,1,
brick,paper holder,2,
brick,build chair,1,
brick,fire pit material,1,
brick,lane,1,
brick,smashing competition game,2,
brick,scratch and write,2,
brick,music drums,2,
brick,chicken coop base,2,
brick,cell phone case,2,
brick,paper brickmaking craft,2,
brick,doorway,1,
brick,outdoor coaster,2,
brick,landscape design,1,
brick,bbq station,2,
brick,fence,1,
brick,homemade forge base,3,
brick,tie shoes game,1.4,
brick,support photo frame,2,
brick,garden decoration,1,
brick,noisemaker,2,
brick,stress ball,3,
brick,chalk surface,3,
brick,photo frame,3,
brick,interior,1,
brick,window draft stopper,1,
brick,gas,1.4,
brick,build cellar,1,
brick,mark parking spot,1,
brick,bbq,2,
brick,help make snowman,2,
brick,sit up,1,
brick,crafty candle holder,3,
brick,straighten hair,3,
brick,crumble,1,
brick,fishing,2,
brick,dry leaves,2,
brick,cold frame base,2,
brick,play game of toss,1,
brick,minimalist desk organizer,3,
brick,testing ice thickness,2,
brick,build pet cage,1,
brick,fish tank,3,
brick,flower bed border,1.5,
brick,construction market,1,
brick,forming decorative accents,1.7,
brick,paperfoldingaid,3,
brick,baked stone,1,
brick,substrate,2,
brick,fireplaceblock,1,
brick,make fire pit  safe place campfire,1,
brick,ocarina,3,
brick,slippers,2,
brick,lift weight,1,
brick,stepping stool,1,
brick,open hearth,2,
brick,gift,2,
brick,"ruler, make straight line",2,
brick,making dam,1,
brick,bbq pit,2,
brick,brickandmortar hotel,1,
brick,time marker,2,
brick,village,1,
brick,building street,1,
brick,break want broken,1,
brick,drainage solution,2,
brick,home decor item,1,
brick,cover weeds,2,
brick,build birdhouse,1,
brick,outdoor pathway,1,
brick,"swimming weight, sink in water",2,
brick,play dominoes,2,
brick,bench/seat,1,
brick,specifications ,1,
brick,excuse,2,
brick,coin,2,
brick,art sculpture material,2,
brick,improvised workout weights,1.5,
brick,desktop organizer,3,
brick,outdoor bench,1,
brick,barbecue pit,2,
brick,throw with message,2,
brick,cover with tape,2,
brick,stress test object,2,
brick,paper letter organizer classroom,2,
brick,weights workout,1,
brick,fire engine,1,
brick,medieval weapon,1,
brick,toothbrush holder,3,
brick,tetris game real life,3,
brick,model,2,
brick,flatten paper,2,
brick,pulley balance,2,
brick,bank,1,
brick,statue holder,2,
brick,brickandmortar office building,1,
brick,computer key,3,
brick,flatten,1,
brick,bed for mouse,3,
brick,toy for animal,2,
brick,unconventional pie weight,2,
brick,marbles,2,
brick,sandcastle,2,
brick,weight support for car,1,
brick,heat retention smoker,3,
brick,animal bedding,3,
brick,paper coaster,2,
brick,break nut,2,
brick,staircase,1,
brick,placemat,2,
brick,diving board,3,
brick,weight against wind for tent,1.5,
brick,break window,1,
brick,door stop,1,
brick,stamping tool,2,
brick,scratch wall,2,
brick,rustic soap dish,3,
brick,dominoes,2,
brick,landscaping,1,
brick,paper sculpture,3,
brick,carve text drawings,2,
brick,photo frame holder,3,
brick,dam,1,
brick,bench support,1,
brick,paper journal,3,
brick,planting,1,
brick,fireplace surroundment,1,
brick,unit weight,1,
brick,bookshelves,2,
brick,wall mosaic,2,
brick,smash egg,2,
brick,bang noise warning signal,3,
brick,desk organizer weight,2,
brick,make building,1,
brick,historical display,2,
brick,water feature surround,2,
brick,stone pizza oven,2,
brick,carve image,2,
brick,constructing walls planting,1,
brick,outdoor art installation,2,
brick,grater,3,
brick,lizard basking spot,3,
brick,paper craft,2,
brick,decorative wall hanging,1,
brick,make tv cabinet,2,
brick,personify as pet,3,
brick,paper shredder,3,
brick,store,1,
brick,make higher,1,
brick,paperweight pen,2,
brick,window breaker emergencies,1.5,
brick,build nursing home,1,
brick,block water,1,
brick,break stones,1,
brick,pencil holder,2,
brick,plants,2,
brick,tools,1,
brick,outdoor furniture leg,1,
brick,direction marking,1,
brick,telephone,1.4,
brick,solar panel,3,
brick,catch animals,2,
brick,phone support,2,
brick,cheese,3,
brick,outdoor storage,2,
brick,level,1,
brick,hut,1,
brick,lampshade,3,
brick,destroy wall,1,
brick,weighing tool,1.5,
brick,improvised weapon,1,
brick,decorative wall panels,1,
brick,stepraiser,1,
brick,reinforce riverbank,1.5,
brick,food smoker stabilizer,3,
brick,live in it,1.4,
brick,roofing tile,1,
brick,wall planter,2,
brick,build shed,1,
brick,throw to ground,1,
brick,stop,1,
brick,outdoor tictactoe piece,3,
brick,stepping stone,1,
brick,drainage layer planter,2,
brick,brickshaped paperweight,1,
brick,paper stamp,3,
brick,kitchen stool,2,
brick,cold heat storage,3,
brick,frisbee,3,
brick,laying sidewalk,1,
brick,step stool to reach high,1,
brick,lay tiles,1,
brick,balancing tool photography,3,
brick,history,1,
brick,ballast weight,1.5,
brick,fake gift,3,
brick,stone stairs,1,
brick,steampunk prop,2.5,
brick,tennis racket,3,
brick,violence,1,
brick,bedside stub,2,
brick,raised bed,1,
brick,beer opener,3,
brick,open bottle,3,
brick,necklace,2,
brick,brickandmortar warehouse,1,
brick,decorative fence,1,
brick,exercise,1,
brick,repair house,1,
brick,compost activator,3,
brick,kicking ball game,2,
brick,sheld,1,
brick,pathway material,1,
brick,armrest,2,
brick,vr headset,3,
brick,homemade furnace,2,
brick,hotel,1,
brick,architectural element,1,
