prompt,response,originality,elaboration
paperclip,turn soil,3,
paperclip,create art,2,
paperclip,unfold  sharpen tip pierce hole ear,2,
paperclip,board game token,2.5,
paperclip,glasses repair,2.5,
paperclip,chair legs,3,
paperclip,photo frame clasp,2.5,
paperclip,clothing,2,
paperclip,attach paper clips together,1,
paperclip,remove sim card,2,
paperclip,paint stencil,3,
paperclip,light switch cover,3,
paperclip,kite string connector,3,
paperclip,document holder,1,
paperclip,needle mover,2,
paperclip,sword,2.5,
paperclip,photohanger,2,
paperclip,writing on skin,2.5,
paperclip,squeezing ointment tube,3,
paperclip,paper together,1,
paperclip,retract,2,
paperclip,check whether magnet works,2.5,
paperclip,poke eye for sympathy,3,
paperclip,origami,2.5,
paperclip,fake work when fishing,3,
paperclip,turn heart give valentine s day gift,3,
paperclip,art installation,3,
paperclip,replacement broken jacket zipper,2.5,
paperclip,tower,2,
paperclip,press switch,2.5,
paperclip,loop earring,2,
paperclip,cord clip,2,
paperclip,open lock longer key,2.5,
paperclip,get stuff nails,2,
paperclip,iphone chip,3,
paperclip,poke people,2,
paperclip,hold glasses together,2,
paperclip,jig maker,2.5,
paperclip,navel piercing,3,
paperclip,hang christmas baubles,2.5,
paperclip,staple,2,
paperclip,bread tag remover,2.5,
paperclip,binder hole repair,2.5,
paperclip,straw cleaner,3,
paperclip,sock hanging system,3,
paperclip,open closed jars,2.5,
paperclip,holding note,1,
paperclip,releasing zippers,2.5,
paperclip,tiny whisk,3,
paperclip,removing dirt from small crevasses,2.5,
paperclip,keep trouser button together,2,
paperclip,craftaccessory,2,
paperclip,selecting items vending machines,2,
paperclip,slide chairtable leg wobbles,3,
paperclip,wedge small objects,2,
paperclip,makeshift tool,2,
paperclip,shirt collar stays,2.5,
paperclip,play mini hockey,3,
paperclip,cleaning,2,
paperclip,create patterns crochet knitting,3,
paperclip,secure zipper pants top button lazy zipper,2.5,
paperclip,throw s head teaseattract attention,2.5,
paperclip,pendant,2,
paperclip,hold photos,1,
paperclip,laces,2,
paperclip,token,2.5,
paperclip,remove lug watch strap,2.5,
paperclip,calculator reset,3,
paperclip,requiem scavenger hunt,3,
paperclip,temporary eyeglass fix,2.5,
paperclip,packing,2,
paperclip,holding thing,1,
paperclip,straighten wrinkles,2,
paperclip,cable tie,2.5,
paperclip,open lock diary,2,
paperclip,hair band,2,
paperclip,key,1,
paperclip,make animal,2.7,
paperclip,tear open plastic bag,2.5,
paperclip,photo holder,2,
paperclip,stick magnet,2.5,
paperclip,imagine loved one carry bra day,3.3,
paperclip,release lock,2,
paperclip,pritt,2,
paperclip,scratches,2,
paperclip,paper organization,1,
paperclip,creating sculptures,2.5,
paperclip,battery terminal holder,3,
paperclip,garland,2.5,
paperclip,tie laces,2.5,
paperclip,sound magnifier,3,
paperclip,hair pin,2,
paperclip,opening sealed envelopes,1,
paperclip,computer mouse,3,
paperclip,triangle shape,2,
paperclip,paper curl fixer,2,
paperclip,open plastic packaging poking small hole,2,
paperclip,hold fabric together,1,
paperclip,playing guitar,3,
paperclip,attack,2,
paperclip,file fastener,1,
paperclip,short circuit circuit,3,
paperclip,pen cap remover,2.5,
paperclip,cleaning small grooves,2.5,
paperclip,pop balloon,2.5,
paperclip, poke hole sim card,2.5,
paperclip,break lock,2,
paperclip,open phone sim card,2,
paperclip,paper curl,2,
paperclip,bookmark separator,2,
paperclip,money organizer,1.5,
paperclip,shape baking mould,3,
paperclip,whiteboard pin,2.5,
paperclip,roll,2,
paperclip,mascot word learning program,3.3,
paperclip,hang christmas ornament,2,
paperclip,logo,2,
paperclip,removing ticks,2.5,
paperclip,telephone stand,3,
paperclip,attaching price tags,1,
paperclip,napkin holder,2.5,
paperclip,throwing game,2.5,
paperclip,nose picker,2,
paperclip,fold,1,
paperclip,keep bags closed,2,
paperclip,skewer check cake done,3,
paperclip,fishing lure,3,
paperclip,sew,2,
paperclip,pizza,3.3,
paperclip,wire substitute,2,
paperclip,scratching post cats,3,
paperclip,zipper alternative,3,
paperclip,wire guide,2.5,
paperclip,put hair hold hair back,2,
paperclip,create jewelry,2,
paperclip,clothing pin,2,
paperclip,thin,1,
paperclip,writing supplies,2,
paperclip,cleanse hair hair brushes,2.5,
paperclip,paper clip stir coffee,3,
paperclip,breaking house,2,
paperclip,wireorganizing,2,
paperclip,open stuck closed opening,2,
paperclip,scratchoff tool,2.5,
paperclip,pointed object make hole paper,2,
paperclip,make wall decoration,2,
paperclip,print,2,
paperclip,tongue scraping thing,2.5,
paperclip,pencil,2,
paperclip,creating art wire,2,
paperclip,nail prop,2.5,
paperclip,mini screwdriver,2.5,
paperclip,test whether magnetic,2,
paperclip,bow,2,
paperclip,get small space,2,
paperclip,repair clothes,2,
paperclip,minisculpture,2.5,
paperclip,melt,2.5,
paperclip,getting dirt behind small edges,2.5,
paperclip,cleaning small spaces,2.5,
paperclip,paper clip holder,2,
paperclip,make chains,1,
paperclip,tie,2,
paperclip,earphone wire organizer,2.5,
paperclip,hold staples stapler,1,
paperclip,fastening bags shut,2,
paperclip,hang ornaments,2,
paperclip,open sim card box phone,2,
paperclip,headband,2.5,
paperclip,eyeglasses frame repair,2.5,
paperclip,emergency repair tool,2,
paperclip,catching fish,3,
paperclip,wall decoration,2,
paperclip,scratched drawing car,3,
paperclip,food server,2.5,
paperclip,communication symbol,2.5,
paperclip,zipper fix,2.5,
paperclip,clothesline peg,2.5,
paperclip,curtain tie,2.5,
paperclip,make earring,2,
paperclip,adjustment tool,2.5,
paperclip,keychain,2,
paperclip,markers in book ,2.5,
paperclip,ear cleaner,2.5,
paperclip,keep rings together,1,
paperclip,iphone put small pin phone remove sim card  possible,3,
paperclip,shoot away finger,2.5,
paperclip,arrowhead,2.5,
paperclip,miniature sculpture frame,3,
paperclip,coast,2,
paperclip,puzzle piece lifter,3,
paperclip,peel sticker,2,
paperclip,attach pieces paper together,1,
paperclip,add texture art projects,2.5,
paperclip,hinge,2.5,
paperclip,confetti popper,3,
paperclip,organizer tag,2,
paperclip,duct minitool,2.5,
paperclip,creating makeshift fishing hook,2.5,
paperclip,spatula,3,
paperclip,note pad holder,2,
paperclip,unfasten clothing,2,
paperclip,bracket decoration,2.5,
paperclip,tie scarf,2.5,
paperclip,book spine reinforcement,2.5,
paperclip,unzip zipper,2.5,
paperclip,bird feeder,3.3,
paperclip,binder tab pulling,2,
paperclip,hold pages music together,1,
paperclip,stir food pan,3,
paperclip,prevent papers falling open folder,1,
paperclip,hold sheets paper together,1,
paperclip,make jewelry,2,
paperclip,unclog glue bottles,2.5,
paperclip,paper cut protector,2,
paperclip,attach lamps for decoration,3,
paperclip,diyhanger,2,
paperclip,drink stirrer,2.5,
paperclip,hair clasps,2,
paperclip,bookmarker,2,
paperclip,craftingaccessory,2,
paperclip,split identifier,2.5,
paperclip,hem holder,2,
paperclip,bookmark clip,1,
paperclip,paper holder,1,
paperclip,mini skewer,3,
paperclip,small hook,2,
paperclip,keep wires together,1,
paperclip,escape prison,3,
paperclip,wirebending,2,
paperclip,bend open sd card slot,3,
paperclip,bag,2,
paperclip,picking dirt small hole,2,
paperclip,key hook,2,
paperclip,brooch,2.5,
paperclip,shoe shine tool,3,
paperclip,connecting element,1,
paperclip,opening phone s sim card compartment,2,
paperclip,thread wire narrow entrance,2.5,
paperclip,staple replacement,2,
paperclip,fence,2.5,
paperclip,doll accessory,2.5,
paperclip,pens,1,
paperclip,shoe decoration,2.5,
paperclip,eyeglass repair kit,2.5,
paperclip,coathanger hanger,2,
paperclip,stress ball,3,
paperclip,carve tree,3,
paperclip,remove tangles hair,2,
paperclip,fish lure replacement,3,
paperclip,unfold craft thread,2.5,
paperclip,fishing tea bag tea fallen,3,
paperclip,photo frame,2.5,
paperclip,chain clasp,2,
paperclip,wire organization,2,
paperclip,unlock locked door,2,
paperclip,dental floss,3,
paperclip,shish kebab holder,3,
paperclip,metal braid,3,
paperclip,open small spot phone sim card located,2.5,
paperclip,mending glasses,2.5,
paperclip,straighten hair,2,
paperclip,fishing,2,
paperclip,making hole piece clothing,2,
paperclip,poke,2,
paperclip,sewing aid,2.5,
paperclip,paper pick,2,
paperclip,applying eyeliner tool,3,
paperclip,open package,2,
paperclip,remove dust small holes,2,
paperclip,capo ukulele,3,
paperclip,ruler to make shapes,3,
paperclip,holding photos place,1,
paperclip,shoe polish applicator,3,
paperclip,pencapremover,2,
paperclip,fetch,2.5,
paperclip,marking places,2,
paperclip,letters,1,
paperclip,putting paper together,1,
paperclip,holding chip bag closed,2,
paperclip,broken,1,
paperclip,pointer homemade magnet,3,
paperclip,picture holder,2,
paperclip,mini tongs,3,
paperclip,gift,2,
paperclip,make holes thin,2,
paperclip,getting tricky crevices,2.5,
paperclip,keep money notes together,1,
paperclip,project,2,
paperclip,hang kitchen utensils,2.5,
paperclip,hang flag,2,
paperclip,find magnets,2,
paperclip,wire extension,2.5,
paperclip,ear cleaning,2.5,
paperclip,send,1,
paperclip,turn small button,2.5,
paperclip,playing musical instruments,3,
paperclip,lamp shade hook,3,
paperclip,attract magnets,2.5,
paperclip,support small plant grows upright,3.3,
paperclip,clothesline,2,
paperclip,mini measuring stick,3,
paperclip,zipperrepair,2.5,
paperclip,undoing stuck zippers,2.5,
paperclip,creating photo document hooks,2.5,
paperclip,craft supply,2,
paperclip,wood carving,3,
paperclip,art sculpture material,2.5,
paperclip,keep certificate recovery doctor seal emotion,3.3,
paperclip,candle wick holder,3,
paperclip,letteropening,2,
paperclip,printer,2,
paperclip,exchange item,2,
paperclip,toothpick holder,2.5,
paperclip,sharpening stone spacer,3,
paperclip,s  hook,2,
paperclip,guitar fretboard cleaner,3,
paperclip,repairing glasses,2.5,
paperclip,could unfold rod fiddle,2,
paperclip,nose clip,2.5,
paperclip,making puppets,3,
paperclip,hang paper nail,2,
paperclip,picking food,2.5,
paperclip,hang cards on string,2,
paperclip,organizing keychains,2,
paperclip,lightsaber hilt,3,
paperclip,close bagspackages,2,
paperclip,toothbrush holder,3,
paperclip,letter opener,2,
paperclip,paint different colors,2.5,
paperclip,attach chain,1,
paperclip,removing splinters,2,
paperclip,letter seal,2,
paperclip,pop pimple,3,
paperclip,creating origami art,2.5,
paperclip,point,2,
paperclip,switch opener,2.5,
paperclip,remove poop shoe,3,
paperclip,put together chain,1,
paperclip,unfold tip dip nail polish  put dots nails,3,
paperclip,organize cables,2,
paperclip,bookmark placeholder,2,
paperclip,stencil,2.5,
paperclip,insert hole phone sim card comes,2.5,
paperclip,file organizer,1,
paperclip,removing dirt nails,2,
paperclip,open drawer phone,2,
paperclip,close salt bag,2,
paperclip,herb marker,3,
paperclip,underwear,3,
paperclip,craft project,2,
paperclip,zipping closed zippers,2,
paperclip,open sim card thing phone,2,
paperclip,making earring,2,
paperclip,keep shirt pants,2,
paperclip,mini catapult,3,
paperclip,odd jobs,2,
paperclip,make mini clothes hanger,2.5,
paperclip,cleaning telephone ports,2.5,
paperclip,hang decorations,2,
paperclip,bookmarks,1,
paperclip,tie bra hands cross behind back see,3,
paperclip,headphone connector,3,
paperclip,decorate nails nail polish  example putting dots,3,
paperclip,unclogging pen,2.5,
paperclip,holding paper together,1,
paperclip,tinker,2,
paperclip,game topic,2,
paperclip,wire sculpture frame,3,
paperclip,door stop,2.5,
paperclip,unclogging faucets,3,
paperclip,conduct electricity,3,
paperclip,tighten pants tight,3,
paperclip,holding papers,1,
paperclip,earphone holder,2.5,
paperclip,clip bags closed,2,
paperclip,safety pin replacement,2,
paperclip,hang photos,2,
paperclip,paper sculpture,2.5,
paperclip,folding metal wire shape make art,2,
paperclip,remove dirt teeth,2,
paperclip,remove sim card phone small point,2,
paperclip,chain holder,2,
paperclip,note tag,1,
paperclip,scraping ice keys,3,
paperclip,put lot together rope,2,
paperclip,mark beginning tape,2.5,
paperclip,keeping hair together,2,
paperclip,hairpinelastic,2.5,
paperclip,miniature screwdriver,3,
paperclip,tie several together  chain,2,
paperclip,closekeep bags ,1,
