,task,model,temp,rep,original_response,pid,original_response_cleaned,response,invalid,jump_GT,response_len,response_num_words,previous_original_response,previous_response,order,category,SS,jump_cat,jump_SS,jump,originality,jump_profile
1,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,giraffe,1,giraffe,giraffe,,,7,1,elephant,elephant,1,14,0.8501284122467041,1,0,0,,0
2,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,zebra,1,zebra,zebra,,,5,1,giraffe,giraffe,2,9,0.8193547129631042,1,0,0,,0
3,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,rhinoceros,1,rhinoceros,rhinoceros,,,10,1,zebra,zebra,3,9,0.8270968794822693,0,0,0,,0
4,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,hippopotamus,1,hippopotamus,hippopotamus,,,12,1,rhinoceros,rhinoceros,4,9,0.8446728587150574,0,0,0,,0
5,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,kangaroo,1,kangaroo,kangaroo,,,8,1,hippopotamus,hippopotamus,5,5,0.8196361064910889,1,0,0,,0
6,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,tiger,1,tiger,tiger,,,5,1,kangaroo,kangaroo,6,6,0.797845721244812,1,1,1,,1
7,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,lion,1,lion,lion,,,4,1,tiger,tiger,7,1,0.8430523872375488,1,0,0,,1
8,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,leopard,1,leopard,leopard,,,7,1,lion,lion,8,1,0.8669106364250183,0,0,0,,1
9,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,cheetah,1,cheetah,cheetah,,,7,1,leopard,leopard,9,1,0.8507751822471619,0,0,0,,1
10,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,panda,1,panda,panda,,,5,1,cheetah,cheetah,10,6,0.7964297533035278,1,1,1,,2
11,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,gorilla,1,gorilla,gorilla,,,7,1,panda,panda,11,4,0.8292450904846191,1,0,0,,2
12,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,orangutan,1,orangutan,orangutan,,,9,1,gorilla,gorilla,12,9,0.8408963084220886,1,0,0,,2
