,pid,task,starttime,endtime,original_response_Dutch,original_response,original_response_cleaned,response,response_corrected,invalid,creative,jump_GT,response_len,response_num_words,previous_original_response,previous_response,order,SS,SS_ref,clusters_hier,jump_hier,jump_SS,jump,order_in_cluster,uniqueness
0,2657,1,1612269656493,1612269659361,kat,cat,cat,cat,,0.0,0.0,1.0,3,1,dog,dog,1,0.8227521181106570,0.83049977,1,1,0,0,2,104.5
1,2657,1,1612269659361,1612269662587,zeebr,seabr,seabr,seabr,zebra,0.0,0.0,1.0,5,1,cat,cat,2,0.7685650587081910,0.7714362,16,1,1,1,1,209.0
2,2657,1,1612269662587,1612269666415,giraffe,giraffe,giraffe,giraffe,,0.0,0.0,1.0,7,1,seabr,seabr,3,0.7489839792251590,0.84051734,13,1,1,1,1,83.6
3,2657,1,1612269666415,1612269671971,zeehond,seal,seal,seal,,0.0,0.0,1.0,4,1,giraffe,giraffe,4,0.7661219835281370,0.792743,12,1,1,1,1,418.0
4,2657,1,1612269671971,1612269677895,leeuw,lion,lion,lion,,0.0,0.0,1.0,4,1,seal,seal,5,0.8111578226089480,0.8356642,12,0,0,0,2,209.0
5,2657,1,1612269677895,1612269683450,tijger,Tiger,Tiger,tiger,,0.0,0.0,1.0,5,1,lion,lion,6,0.8430523872375490,0.8226395,8,1,0,0,3,139.33333333333300
6,2657,1,1612269683450,1612269685262,duif,pigeon,pigeon,pigeon,,0.0,0.0,1.0,6,1,Tiger,tiger,7,0.7691526412963870,0.82414985,14,1,1,1,1,59.714285714285700
7,2657,1,1612269685262,1612269690624,lama,llama,llama,llama,,0.0,0.0,1.0,5,1,pigeon,pigeon,8,0.814871072769165,0.83593345,2,1,0,0,2,139.33333333333300
8,2657,1,1612269690624,1612269698183,papagaai,parrot,parrot,parrot,,0.0,0.0,1.0,6,1,llama,llama,9,0.791644275188446,0.8210993,14,1,1,1,1,139.33333333333300
9,2657,1,1612269698183,1612269701099,puma,puma,puma,puma,,0.0,0.0,1.0,4,1,parrot,parrot,10,0.7795395851135250,0.80539006,6,1,1,1,1,104.5
10,2657,1,1612269701099,1612269706590,aasgier,vulture,vulture,vulture,,0.0,0.0,1.0,7,1,puma,puma,11,0.7313452959060670,0.74462914,6,0,1,0,2,209.0
11,2657,1,1612269706590,1612269720013,cavia,guinea pig,guinea pig,guinea pig,,0.0,0.0,1.0,10,2,vulture,vulture,12,0.7187187075614930,0.841401,3,1,1,1,1,104.5
12,2657,1,1612269720013,1612269723087,konijn,rabbit,rabbit,rabbit,,0.0,0.0,1.0,6,1,guinea pig,guinea pig,13,0.8442529439926150,0.83651775,3,0,0,0,2,139.33333333333300
13,2657,1,1612269723087,1612269728801,haai,shark,shark,shark,,0.0,0.0,1.0,5,1,rabbit,rabbit,14,0.773780882358551,0.8098477,16,1,1,1,1,209.0
14,2657,1,1612269728801,1612269734462,mier,ant,ant,ant,,0.0,0.0,1.0,3,1,shark,shark,15,0.7986440658569340,0.7966292,17,1,1,1,1,209.0
15,2657,1,1612269734462,1612269737241,kever,beetle,beetle,beetle,,0.0,0.0,1.0,6,1,ant,ant,16,0.8404709696769710,0.8024523,17,0,0,0,2,83.6
16,2657,1,1612269737241,1612269739512,kakkerlak,cockroach,cockroach,cockroach,,0.0,0.0,1.0,9,1,beetle,beetle,17,0.846655547618866,0.7874151,17,0,0,0,3,209.0
17,2657,1,1612269739512,1612269742760,rat,rat,rat,rat,,0.0,0.0,1.0,3,1,cockroach,cockroach,18,0.8363742828369140,0.8295597,4,1,0,0,4,104.5
18,2658,1,1612271927633,1612271931230,Luipaard,Leopard,Leopard,leopard,,0.0,0.0,1.0,7,1,Cat,cat,1,0.8523253202438350,0.8213335,12,1,0,0,2,104.5
19,2658,1,1612271931230,1612271932252,spin,spider,spider,spider,,0.0,0.0,1.0,6,1,Leopard,leopard,2,0.795691192150116,0.79536843,17,1,1,1,1,104.5
20,2658,1,1612271932252,1612271933747,hagedis,lizard,lizard,lizard,,0.0,0.0,1.0,6,1,spider,spider,3,0.8571809530258180,0.8139157,10,1,0,0,2,139.33333333333300
21,2658,1,1612271933747,1612271939757,hond,dog,dog,dog,,0.0,0.0,1.0,3,1,lizard,lizard,4,0.7894878387451170,0.9065194,6,1,1,1,1,83.6
22,2658,1,1612271939757,1612271940587,paard,horse,horse,horse,,0.0,0.0,1.0,5,1,dog,dog,5,0.8798319101333620,0.8845087,2,1,0,0,2,139.33333333333300
23,2658,1,1612271940587,1612271941687,ezel,donkey,donkey,donkey,,0.0,0.0,1.0,6,1,horse,horse,6,0.8287779092788700,0.8332364,2,0,0,0,3,209.0
24,2658,1,1612271941687,1612271943090,vogel,bird,bird,bird,,0.0,0.0,1.0,4,1,donkey,donkey,7,0.7696811556816100,0.83266354,14,1,1,1,1,59.714285714285700
25,2658,1,1612271943090,1612271946321,slak,snail,snail,snail,,0.0,0.0,1.0,5,1,bird,bird,8,0.7972988486289980,0.7941247,15,1,1,1,1,139.33333333333300
26,2658,1,1612271946321,1612271948828,olifant,elephant,elephant,elephant,,0.0,0.0,1.0,8,1,snail,snail,9,0.8159891366958620,0.8476779,12,1,0,0,2,104.5
27,2658,1,1612271948828,1612271950197,tijger,Tiger,Tiger,tiger,,0.0,0.0,1.0,5,1,elephant,elephant,10,0.818225085735321,0.8226395,8,1,0,0,3,139.33333333333300
28,2658,1,1612271950197,1612271952564,stokstaartje,meerkat,meerkat,meerkat,,0.0,0.0,1.0,7,1,Tiger,tiger,11,0.804003119468689,0.8339248,12,1,1,1,1,209.0
29,2658,1,1612271952564,1612271955125,vis,fish,fish,fish,,0.0,0.0,1.0,4,1,meerkat,meerkat,12,0.7979991436004640,0.85351634,15,1,1,1,1,83.6
30,2658,1,1612271955125,1612271959793,mug,mosquito,mosquito,mosquito,,0.0,0.0,1.0,8,1,fish,fish,13,0.801074743270874,0.78695965,17,1,1,1,1,83.6
31,2658,1,1612271959793,1612271967071,luipaard,leopard,leopard,leopard,,0.0,0.0,1.0,7,1,mosquito,mosquito,14,0.7576857805252080,0.8213335,12,1,1,1,1,104.5
32,2658,1,1612271967071,1612271970596,giraffe,giraffe,giraffe,giraffe,,0.0,0.0,1.0,7,1,leopard,leopard,15,0.8355468511581420,0.84051734,13,1,0,0,2,83.6
33,2658,1,1612271970596,1612271973395,kip,chicken,chicken,chicken,,0.0,0.0,1.0,7,1,giraffe,giraffe,16,0.7994441986083980,0.8555471,14,1,1,1,1,209.0
34,2658,1,1612271973395,1612271974037,koe,cow,cow,cow,,0.0,0.0,1.0,3,1,chicken,chicken,17,0.8483150601387020,0.85481083,2,1,0,0,2,104.5
