"AUT-response_id","participant_fk","stimulus_fk","starttime","endtime","response","toptwo"
"34716","2656","3","1612269599134","1612269684140","Documenten archiveren, papierwerk regelen, plaknotities",NULL
"34717","2656","3","1612269684140","1612270038845"," â–² bewaar apart papier",NULL
"34718","2656","3","1612270038845","1612270064017","toespraak",NULL
"34719","2656","3","1612270064017","1612270077115","â–² presentatie",NULL
"34720","2657","1","1612269779414","1612269786513","huis",NULL
"34721","2657","1","1612269786513","1612269794487","brug",NULL
"34722","2657","1","1612269794487","1612269797025","school",NULL
"34723","2657","1","1612269797025","1612269799090","ministerie",NULL
"34724","2657","1","1612269799090","1612269803729","hotel",NULL
"34725","2657","1","1612269803729","1612269809385","basischool",NULL
"34726","2657","1","1612269809385","1612269819508","rellen",NULL
"34727","2657","1","1612269819508","1612269839011","middelbare school",NULL
"34728","2657","1","1612269839011","1612269841594","universiteit",NULL
"34729","2657","1","1612269841594","1612269846645","HBO",NULL
"34730","2657","1","1612269846645","1612269854137","kamer",NULL
"34731","2657","1","1612269854137","1612269857867","interieur",NULL
"34732","2657","1","1612269857867","1612269879739","veel kleine huizen",NULL
"34733","2657","1","1612269879739","1612269890023","rijtjeshuizen",NULL
"34734","2657","1","1612269890023","1612269893244","buurthuizen",NULL
"34735","2657","1","1612269893244","1612269898879","flats",NULL
"34736","2657","1","1612269898879","1612269925635","tafels",NULL
"34737","2657","1","1612269925635","1612269933625","zitverhoging",NULL
"34738","2657","1","1612269933625","1612269949308","autoverhoging",NULL
"34739","2657","1","1612269949308","1612269964406","winkels inbouwen met bakstenen",NULL
"34740","2657","1","1612269964406","1612269975133","grens aangeven",NULL
"34741","2657","1","1612269975133","1612269996173","baksteenhek",NULL
"34742","2657","1","1612269996173","1612270013793","real life lego",NULL
"34743","2657","1","1612270013793","1612270024222","kunst",NULL
"34744","2657","1","1612270024222","1612270035855","als canvas om mee te schilderen",NULL
"34745","2657","1","1612270035855","1612270056202","om kunst uit te hakken",NULL
"34746","2657","1","1612270056202","1612270120814","met een gat erin, als bedeltje voor een ketting van een reus of groot kunstwerk",NULL
"34747","2657","1","1612270120814","1612270141574","speeltuin",NULL
"34748","2657","1","1612270141574","1612270178745","stoel",NULL
"34749","2657","1","1612270178745","1612270222598","om muziek mee te maken wanneer je het op de grond gooit",NULL
"34750","2657","1","1612270281298","1612270357015","dat ene spel waar je steeds een steen uit moet halen zodat de toren niet omvalt, djenge?",NULL
"34751","2657","1","1612270357015","1612270374214","als gordijn",NULL
"34752","2656","1","1612270200861","1612270516212"," breken",NULL
"34753","2656","1","1612270516212","1612270522449","bouw huis",NULL
"34754","2656","1","1612270522449","1612270529274","gebouw",NULL
"34755","2656","1","1612270529274","1612270536165","smash",NULL
"34756","2656","1","1612270536165","1612270541807","raken",NULL
"34757","2656","1","1612270541807","1612270548844","speelplaats",NULL
"34758","2656","1","1612270548844","1612270554402","Gooi",NULL
"34759","2656","1","1612270554402","1612270560106","grip",NULL
"34760","2656","1","1612270560106","1612270567959","op te slaan",NULL
"34761","2657","3","1612270379631","1612270389941","ketting",NULL
"34762","2657","3","1612270389941","1612270398628","papier mee vastbinden",NULL
"34763","2657","3","1612270398628","1612270410366","jurk mee maken",NULL
"34764","2657","3","1612270410366","1612270425244","de persoon achter een metaaldetector p",NULL
"34765","2657","3","1612270425244","1612270441721","pesten",NULL
"34766","2657","3","1612270441721","1612270451820","sloten mee openen",NULL
"34767","2657","3","1612270451820","1612270464281","oorbel",NULL
"34768","2657","3","1612270464281","1612270498736","kunst",NULL
"34769","2657","3","1612270498736","1612270532028","omvormen en dan gebruiken als bakfiguurtjes",NULL
"34770","2657","3","1612270532028","1612270546671","omvormen en gebruiken als stempel",NULL
"34771","2657","3","1612270546671","1612270555874","omvormen tot tiara",NULL
"34772","2657","3","1612270555874","1612270564462","haarband",NULL
"34773","2657","3","1612270564462","1612270588042","om een simkaart in je telefoon te doen",NULL
"34774","2657","3","1612270588042","1612270598231","gebruiken als stokjes ",NULL
"34775","2657","3","1612270598231","1612270637784","omvormen tot BH-beugel",NULL
"34776","2657","3","1612270637784","1612270659998","details in klei maken",NULL
"34777","2657","3","1612270659998","1612270674881","ring",NULL
"34778","2657","3","1612270674881","1612270703151","als dingetje aan een rits, ritshandvatje zegmaar",NULL
"34779","2657","3","1612270703151","1612270714523","moderne kunst",NULL
"34780","2657","3","1612270714523","1612270728976","een soort harnas",NULL
"34781","2657","3","1612270728976","1612270754753","bescherming tegen bakstenen",NULL
"34782","2657","3","1612270754753","1612270762958","haarspeldjes",NULL
"34783","2657","3","1612270762958","1612270777980","als lineaal",NULL
"34784","2657","3","1612270777980","1612270846832","om een plant bij elkaar te houden bij het groeien",NULL
"34785","2657","3","1612270846832","1612270873187","gebruiken als zilverdraad",NULL
"34786","2657","3","1612270873187","1612270894115","om een boterhamzakje bij elkaar te houden",NULL
"34787","2657","3","1612270894115","1612270930742","om sieraden aan te hangen",NULL
"34788","2657","3","1612270930742","1612270952712","om letters mee te maken zodat blinde mensen het kunnen voelen",NULL
"34789","2658","3","1612272107657","1612272117925","Papier bijeenhouden",NULL
"34790","2658","3","1612272117925","1612272120852","Slot openmaken",NULL
"34791","2658","3","1612272120852","1612272123232","haarspeld",NULL
"34792","2658","3","1612272123232","1612272133631","snoeren aan elkaar vastbinden",NULL
"34793","2658","3","1612272133631","1612272143060","eten tussen tanden weghalen",NULL
"34794","2658","3","1612272143060","1612272160590","kraskaart openkrassen",NULL
"34795","2658","3","1612272160590","1612272175544","boekenlegger",NULL
"34796","2658","3","1612272175544","1612272229250","kleding die te groot is verstellen",NULL
"34797","2658","3","1612272229250","1612272270518","twee dingen aan elkaar vastbinden",NULL
"34798","2658","3","1612272270518","1612272288016","gebruiken bij het klussen ",NULL
"34799","2658","3","1612272288016","1612272301359","sateprikker om te kijken of de cake gaar is ",NULL
"34800","2658","3","1612272301359","1612272331044","Om iets te roeren",NULL
"34801","2658","3","1612272331044","1612272361185","Iets vastbinden",NULL
"34802","2658","3","1612272361185","1612272363505","Iets repareren ",NULL
"34803","2658","3","1612272363505","1612272382745","Sleutelhanger",NULL
"34804","2658","3","1612272382745","1612272460192","Als je er meerdere aan elkaar vastbindt: een ketting ",NULL
"34805","2658","3","1612272460192","1612272532905","Als je er meerdere aan elkaar vastbindt: hangen aan de muur en dan kan je er sieraden aan hangen",NULL
"34806","2658","3","1612272532905","1612272550572","Twee sokken als paar vastmaken aan elkaar",NULL
"34807","2658","1","1612272707853","1612272716933","Muur maken ",NULL
"34808","2658","1","1612272716933","1612272725490","Opstapje ",NULL
"34809","2658","1","1612272725490","1612272743960","Iets anders kapotmaken ",NULL
"34810","2658","1","1612272743960","1612272754208","Boekensteun",NULL
"34811","2658","1","1612272754208","1612272760915","Deurstopper",NULL
"34812","2658","1","1612272760915","1612272855150","Richtingaanduiding met meerdere bakstenen",NULL
"34813","2658","1","1612272855150","1612273002163","Muziekinstrument ",NULL
"34814","2658","1","1612273002163","1612273236550","Kaarsenonderzetter",NULL
"34815","2658","1","1612273236550","1612273241893","Onderzetter voor pannen",NULL
"34816","2658","1","1612273241893","1612273247476","Decoratie",NULL
"34817","2658","1","1612273247476","1612273275944","Verhoging",NULL
"34818","2660","3","1612274476471","1612274483080","papier bij elkaar houden",NULL
"34819","2660","3","1612274483080","1612274488682","sloten openmaken",NULL
"34820","2660","3","1612274488682","1612274500656","gaatjes maken",NULL
"34821","2660","3","1612274500656","1612274505936","boekenlegger",NULL
"34822","2660","3","1612274505936","1612274523915","oorbel",NULL
"34823","2660","3","1612274523915","1612274550450","haakje om dingen aan op te hangen ",NULL
"34824","2660","3","1612274550450","1612274565453","magneten vinden",NULL
"34825","2660","3","1612274565453","1612274599251","je haar bij elkaar houden",NULL
"34826","2660","3","1612274599251","1612274634690","gitaar mee spelen",NULL
"34827","2660","3","1612274634690","1612274717908","ketting of armband van paperclips maken ",NULL
"34828","2660","3","1612274717908","1612274753845","potloden bij elkaar houden",NULL
"34829","2660","3","1612274753845","1612274804866","wapen (zelfdefensie)",NULL
"34830","2660","3","1612274804866","1612274865719","schrijfwaar als je inkt hebt",NULL
"34831","2660","3","1612274865719","1612274883791","ruggenkrabber",NULL
"34832","2660","3","1612274883791","1612274964770","een kledinghaakje voor barbie-/poppenkleding",NULL
"34833","2660","3","1612274964770","1612275042798","als schroevendraaier gebruiken",NULL
"34834","2661","1","1612274965329","1612274970894","huis bouwen",NULL
"34835","2661","1","1612274970894","1612274975366","raam ingooien",NULL
"34836","2661","1","1612274975366","1612275035973","iets op tekenen",NULL
"34837","2661","1","1612275035973","1612275068847","iets kapot maken ",NULL
"34838","2661","1","1612275068847","1612275119202","brug bouwen",NULL
"34839","2661","1","1612275119202","1612275137954","deur mee tegenhouden",NULL
"34840","2661","1","1612275137954","1612275186735","opstapje maken",NULL
"34841","2661","1","1612275186735","1612275494383","iets laten zinken",NULL
"34842","2660","1","1612275076664","1612275091764","om muren mee te bouwen",NULL
"34843","2660","1","1612275091764","1612275115284","gewichten",NULL
"34844","2660","1","1612275115284","1612275120689","wapen",NULL
"34845","2660","1","1612275120689","1612275166745","een opstapje",NULL
"34846","2660","1","1612275166745","1612275179197","bord",NULL
"34847","2660","1","1612275179197","1612275181908","snijplank",NULL
"34848","2660","1","1612275181908","1612275217446","schoen ",NULL
"34849","2660","1","1612275217446","1612275261717","kamerdecoratie",NULL
"34850","2660","1","1612275261717","1612275277434","stempel (met inkt)",NULL
"34851","2660","1","1612275277434","1612275343587","obstakel (mensen struikelen erover)",NULL
"34852","2660","1","1612275343587","1612275370810","kapotte baksteen = grint voor in de tuin",NULL
"34853","2660","1","1612275370810","1612275422025","muziekinstrument (als je erop slaat)",NULL
"34854","2660","1","1612275422025","1612275497160","canvas om op te schilderen",NULL
