"VF-response_id","participant_fk","stimulus_fk","starttime","endtime","response"
"42297","2656","1","1612269385417","1612269433630"," tijger, leeuw, cheetah, adelaar, olifant"
"42298","2656","1","1612269433630","1612269489956"," kat, hond, vogel, giraf, krokodil, slang, mug, nijlpaard"
"42299","2657","1","1612269645057","1612269656493","hond"
"42300","2657","1","1612269656493","1612269659361","kat"
"42301","2657","1","1612269659361","1612269662587","zeebr"
"42302","2657","1","1612269662587","1612269666415","giraffe"
"42303","2657","1","1612269666415","1612269671971","zeehond"
"42304","2657","1","1612269671971","1612269677895","leeuw"
"42305","2657","1","1612269677895","1612269683450","tijger"
"42306","2657","1","1612269683450","1612269685262","duif"
"42307","2657","1","1612269685262","1612269690624","lama"
"42308","2657","1","1612269690624","1612269698183","papagaai"
"42309","2657","1","1612269698183","1612269701099","puma"
"42310","2657","1","1612269701099","1612269706590","aasgier"
"42311","2657","1","1612269706590","1612269720013","cavia"
"42312","2657","1","1612269720013","1612269723087","konijn"
"42313","2657","1","1612269723087","1612269728801","haai"
"42314","2657","1","1612269728801","1612269734462","mier"
"42315","2657","1","1612269734462","1612269737241","kever"
"42316","2657","1","1612269737241","1612269739512","kakkerlak"
"42317","2657","1","1612269739512","1612269742760","rat"
"42318","2657","1","1612269742760","1612269744087","muis"
"42319","2657","1","1612269744087","1612269764184","gouvis"
"42320","2658","1","1612271921726","1612271927633","Kat"
"42321","2658","1","1612271927633","1612271931230","Luipaard"
"42322","2658","1","1612271931230","1612271932252","spin"
"42323","2658","1","1612271932252","1612271933747","hagedis"
"42324","2658","1","1612271933747","1612271939757","hond"
"42325","2658","1","1612271939757","1612271940587","paard"
"42326","2658","1","1612271940587","1612271941687","ezel"
"42327","2658","1","1612271941687","1612271943090","vogel"
"42328","2658","1","1612271943090","1612271946321","slak"
"42329","2658","1","1612271946321","1612271948828","olifant"
"42330","2658","1","1612271948828","1612271950197","tijger"
"42331","2658","1","1612271950197","1612271952564","stokstaartje"
"42332","2658","1","1612271952564","1612271955125","vis"
"42333","2658","1","1612271955125","1612271959793","mug"
"42334","2658","1","1612271959793","1612271967071","luipaard"
"42335","2658","1","1612271967071","1612271970596","giraffe"
