,task,model,temp,rep,cleaned_responses
0,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,elephant
1,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,giraffe
2,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,zebra
3,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,rhinoceros
4,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,hippopotamus
5,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,kangaroo
6,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,tiger
7,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,lion
8,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,leopard
9,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,cheetah
10,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,panda
11,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,gorilla
12,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,orangutan
13,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,monkey
14,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,chimpanzee
15,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,baboon
16,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,tarsier
17,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,sloth
18,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,koala
19,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,kangaroo rat
20,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,platypus
21,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,armadillo
22,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,rhinoceros beetle
23,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,antelope
24,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,hippopotamus
25,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,crocodile
26,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,snake
27,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,1,lizard
28,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,elephant
29,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,giraffe
30,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,zebra
31,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,rhinoceros
32,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,hippopotamus
33,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,kangaroo
34,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,tiger
35,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,lion
36,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,leopard
37,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,cheetah
38,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,panda
39,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,gorilla
40,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,orangutan
41,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,monkey
42,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,chimpanzee
43,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,baboon
44,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,tarsier
45,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,sloth
46,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,koala
47,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,kangaroo rat
48,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,platypus
49,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,armadillo
50,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,rhinoceros beetle
51,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,antelope
52,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,hippopotamus
53,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,crocodile
54,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,snake
55,animals,mistralai/Mistral-7B-Instruct-v0.2,0.0,2,lizard
